"Title","Artist","YouTube URL"
"Pepper","Flowdan, Lil Baby, Skrillex",""
"Hydrate","Skrillex, Flowdan, BEAM, PEEKABOO",""
"Sahara","DJ Snake, Skrillex",""
"Down Low - YDG Remix","it's murph, YDG, Sorana","https://www.youtube.com/watch?v=ca7fMqGTs_Y"
"Tears","Skrillex, Joker, Sleepnet","https://www.youtube.com/watch?v=_Rmhg_GmE5c"
"All I Need Is Bass","PEEKABOO","https://www.youtube.com/watch?v=WBVVqBpKjyw"
"Mine","BAYNK, Cub Sport","https://www.youtube.com/watch?v=3QFVmwy9fzM"
"Can't Let You Go","BLOND:ISH, Bantu",""
"Wake Me Up","Avicii","https://www.youtube.com/watch?v=Orp4k_YkE5w"
"Woman","Barry Can't Swim, Låpsley","https://www.youtube.com/watch?v=xeGpzQnh3vM"
"The Calling","Tchami, Marten Hørger",""
"Billie (loving arms)","Fred again..",""
"peace u need","Fred again.., Joy Anonymous",""
"Cake By The Ocean","DNCE",""
"Just What I Said (Everything In Its Right Place)","High Beam",""
"22","JayO",""
"ItsNotREEAALLLLLLLL","Fred again.., Duoteque, Orion Sun",""
"Bound 2","Kanye West","https://www.youtube.com/watch?v=F3k3savIjG0"
"Only Girl (In The World)","Rihanna","https://www.youtube.com/watch?v=-ySWIyJj3I0"
"Rude Boy","Rihanna",""
"My Boy (feat. J. Cole) - Freestyle","Wale, J. Cole",""
"Imma Be","Black Eyed Peas",""
"ten","Fred again.., Jozzy","https://www.youtube.com/watch?v=x4RXNO9oaS0"
"São Paulo (feat. Anitta)","The Weeknd, Anitta","https://www.youtube.com/watch?v=AQ5NlI-SJR0"
"Mexe Mexe (feat. Mc Gw)","Gordo, Malifoo, Mc Gw",""
"Don't Start Now","Dua Lipa","https://www.youtube.com/watch?v=oygrmJFKYZY"
"Harder, Better, Faster, Stronger","Daft Punk",""
"Crown","BUNT.","https://www.youtube.com/watch?v=lQLg4zJ376w"
"Silent Hill","Kendrick Lamar, Kodak Black",""
"RNP (feat. Anderson .Paak)","Cordae, Anderson .Paak","https://www.youtube.com/watch?v=sTTU-T9-RTs"
"WISS","Mike Dimes",""
"INTRO","Mike Dimes, FlexOnDaTrack","https://www.youtube.com/watch?v=teCLwMDw6rM"
"Not The Same","Nitefreak, Imad, Clubhouse",""
"Miss The Rage","Trippie Redd, Playboi Carti","https://www.youtube.com/watch?v=e9u0HmXLPmA"
"Yamore","MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora","https://www.youtube.com/watch?v=GMcR3ZH9YEw"
"Dembow y Reggaeton","El Alfa, Yandel, Myke Towers","https://www.youtube.com/watch?v=3vwMwmXUW34"
"Sippin' Yak","Cloonee",""
"In My Room (feat. SHELLS)","Dombresky, SHELLS",""
"Pepper","Flowdan, Lil Baby, Skrillex",""
"Hydrate","Skrillex, Flowdan, BEAM, PEEKABOO",""
"Sahara","DJ Snake, Skrillex",""
"Down Low - YDG Remix","it's murph, YDG, Sorana","https://www.youtube.com/watch?v=ca7fMqGTs_Y"
"Tears","Skrillex, Joker, Sleepnet","https://www.youtube.com/watch?v=_Rmhg_GmE5c"
"All I Need Is Bass","PEEKABOO","https://www.youtube.com/watch?v=WBVVqBpKjyw"
"Mine","BAYNK, Cub Sport","https://www.youtube.com/watch?v=3QFVmwy9fzM"
"Can't Let You Go","BLOND:ISH, Bantu",""
"Wake Me Up","Avicii","https://www.youtube.com/watch?v=Orp4k_YkE5w"
"Woman","Barry Can't Swim, Låpsley","https://www.youtube.com/watch?v=xeGpzQnh3vM"
"The Calling","Tchami, Marten Hørger",""
"Billie (loving arms)","Fred again..",""
"peace u need","Fred again.., Joy Anonymous",""
"Cake By The Ocean","DNCE",""
"Just What I Said (Everything In Its Right Place)","High Beam",""
"22","JayO",""
"ItsNotREEAALLLLLLLL","Fred again.., Duoteque, Orion Sun",""
"Bound 2","Kanye West","https://www.youtube.com/watch?v=wVRF3SqLUi0"
"Only Girl (In The World)","Rihanna","https://www.youtube.com/watch?v=-ySWIyJj3I0"
"Rude Boy","Rihanna",""
"My Boy (feat. J. Cole) - Freestyle","Wale, J. Cole",""
"Imma Be","Black Eyed Peas",""
"ten","Fred again.., Jozzy","https://www.youtube.com/watch?v=x4RXNO9oaS0"
"São Paulo (feat. Anitta)","The Weeknd, Anitta","https://www.youtube.com/watch?v=AQ5NlI-SJR0"
"Mexe Mexe (feat. Mc Gw)","Gordo, Malifoo, Mc Gw",""
"Don't Start Now","Dua Lipa","https://www.youtube.com/watch?v=oygrmJFKYZY"
"Harder, Better, Faster, Stronger","Daft Punk",""
"Crown","BUNT.","https://www.youtube.com/watch?v=lQLg4zJ376w"
"Silent Hill","Kendrick Lamar, Kodak Black",""
"RNP (feat. Anderson .Paak)","Cordae, Anderson .Paak","https://www.youtube.com/watch?v=sTTU-T9-RTs"
"WISS","Mike Dimes","https://www.youtube.com/watch?v=fVOzBQWM6ZA"
"INTRO","Mike Dimes, FlexOnDaTrack","https://www.youtube.com/watch?v=teCLwMDw6rM"
"Not The Same","Nitefreak, Imad, Clubhouse",""
"Miss The Rage","Trippie Redd, Playboi Carti","https://www.youtube.com/watch?v=e9u0HmXLPmA"
"Yamore","MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora","https://www.youtube.com/watch?v=GMcR3ZH9YEw"
"Dembow y Reggaeton","El Alfa, Yandel, Myke Towers","https://www.youtube.com/watch?v=3vwMwmXUW34"
"Sippin' Yak","Cloonee",""
"In My Room (feat. SHELLS)","Dombresky, SHELLS",""
"Pepper","Flowdan, Lil Baby, Skrillex",""
"Hydrate","Skrillex, Flowdan, BEAM, PEEKABOO",""
"Sahara","DJ Snake, Skrillex",""
"Down Low - YDG Remix","it's murph, YDG, Sorana","https://www.youtube.com/watch?v=ca7fMqGTs_Y"
"Tears","Skrillex, Joker, Sleepnet","https://www.youtube.com/watch?v=_Rmhg_GmE5c"
"All I Need Is Bass","PEEKABOO","https://www.youtube.com/watch?v=WBVVqBpKjyw"
"Mine","BAYNK, Cub Sport","https://www.youtube.com/watch?v=3QFVmwy9fzM"
